Sample,Time_us,Raw_u16,Voltage_V
698,698012,53773,2.707727
699,699014,16083,0.809856
700,700008,39945,2.011421
701,701010,39081,1.967915
702,702011,16644,0.838105
703,703013,53917,2.714978
704,704015,16083,0.809856
705,705012,40105,2.019478
706,706015,38921,1.959858
707,707009,16724,0.842133
708,708010,53789,2.708533
709,709012,16227,0.817107
710,710014,40025,2.015450
711,711014,38937,1.960664
712,712016,16868,0.849384
713,713014,53805,2.709338
714,714016,16035,0.807439
715,715009,39865,2.007393
716,716010,39145,1.971138
717,717012,16756,0.843745
718,718013,53741,2.706116
719,719015,16035,0.807439
720,720010,39961,2.012227
721,721009,39209,1.974360
722,722010,16660,0.838910
723,723011,53997,2.719006
724,724013,16099,0.810661
725,725014,40185,2.023506
726,726008,39193,1.973554
727,727010,16708,0.841327
728,728012,53901,2.714173
729,729009,16227,0.817107
730,730012,40041,2.016255
731,731013,38889,1.958247
732,732014,16804,0.846162
733,733015,53837,2.710950
734,734009,16179,0.814690
735,735011,40025,2.015450
736,736012,39033,1.965498
737,737011,16820,0.846967
738,738014,53933,2.715784
739,739015,16019,0.806633
740,740009,39897,2.009004
741,741010,39177,1.972749
742,742012,16820,0.846967
743,743014,53965,2.717395
744,744015,15971,0.804216
745,745016,40265,2.027535
746,746011,39161,1.971943
747,747012,16724,0.842133
748,748013,53789,2.708533
749,749015,16083,0.809856
750,750009,39929,2.010616
751,751010,39305,1.979194
752,752011,16724,0.842133
753,753009,53853,2.711756
754,754011,16211,0.816301
755,755012,40009,2.014644
756,756013,38985,1.963081
757,757014,16804,0.846162
758,758009,53837,2.710950
759,759011,16019,0.806633
760,760012,39961,2.012227
761,761011,39113,1.969526
762,762014,16868,0.849384
763,763015,53805,2.709338
764,764008,16275,0.819524
765,765010,40025,2.015450
766,766011,39145,1.971138
767,767012,16692,0.840522
768,768014,53789,2.708533
769,769012,16051,0.808244
770,770015,40201,2.024312
771,771008,39241,1.975972
772,772010,16660,0.838910
773,773011,53901,2.714173
774,774012,16099,0.810661
775,775013,40169,2.022701
776,776015,38937,1.960664
777,777014,16836,0.847773
778,778010,53869,2.712561
779,779010,16195,0.815495
780,780012,40041,2.016255
781,781013,39097,1.968720
782,782015,16852,0.848579
783,783008,53821,2.710144
784,784010,16227,0.817107
785,785011,40057,2.017061
786,786013,39065,1.967109
787,787014,16804,0.846162
788,788015,53789,2.708533
789,789009,16259,0.818718
790,790010,39913,2.009810
791,791012,39081,1.967915
792,792014,16932,0.852607
793,793013,53901,2.714173
794,794015,16147,0.813078
795,795008,39849,2.006587
796,796010,39177,1.972749
797,797011,16740,0.842939
798,798013,53757,2.706921
799,799015,16035,0.807439
800,800009,39929,2.010616
801,801009,39225,1.975166
802,802015,16852,0.848579
803,803010,53933,2.715784
804,804012,16067,0.809050
805,805014,40121,2.020284
806,806015,38921,1.959858
807,807008,16628,0.837299
808,808010,53853,2.711756
809,809011,16179,0.814690
810,810014,40073,2.017867
811,811015,38905,1.959052
812,812009,16644,0.838105
813,813010,53837,2.710950
814,814012,16163,0.813884
815,815013,40121,2.020284
816,816015,38937,1.960664
817,817008,16644,0.838105
818,818011,53901,2.714173
819,819013,16067,0.809050
820,820014,40233,2.025924
821,821016,38873,1.957441
822,822010,16660,0.838910
823,823012,53725,2.705310
824,824013,16019,0.806633
825,825015,40073,2.017867
826,826010,39209,1.974360
827,827011,16676,0.839716
828,828012,53773,2.707727
829,829014,16115,0.811467
830,830015,40169,2.022701
831,831009,39241,1.975972
832,832010,16692,0.840522
833,833012,53821,2.710144
834,834013,16131,0.812273
835,835014,40169,2.022701
836,836015,38825,1.955024
837,837010,16692,0.840522
838,838011,53821,2.710144
839,839013,16115,0.811467
840,840015,40265,2.027535
841,841010,39209,1.974360
842,842012,16692,0.840522
843,843013,53837,2.710950
844,844013,16035,0.807439
845,845015,40233,2.025924
846,846009,39273,1.977583
847,847010,16692,0.840522
848,848012,53885,2.713367
849,849014,16019,0.806633
850,850015,40153,2.021895
851,851009,39193,1.973554
852,852010,16676,0.839716
853,853011,53805,2.709338
854,854013,16243,0.817913
855,855016,40137,2.021090
856,856010,39097,1.968720
857,857013,16756,0.843745
858,858015,53885,2.713367
859,859009,16211,0.816301
860,860011,39977,2.013033
861,861012,38953,1.961469
862,862014,16852,0.848579
863,863016,53805,2.709338
864,864010,16243,0.817913
865,865013,40057,2.017061
866,866009,39273,1.977583
867,867011,16692,0.840522
868,868012,53917,2.714978
869,869014,16179,0.814690
870,870016,40265,2.027535
871,871009,39273,1.977583
872,872010,16692,0.840522
873,873013,53837,2.710950
874,874014,16035,0.807439
875,875015,40137,2.021090
876,876010,39177,1.972749
877,877011,16852,0.848579
878,878013,53789,2.708533
879,879014,16243,0.817913
880,880016,40217,2.025118
881,881012,39049,1.966304
882,882015,16804,0.846162
883,883009,53853,2.711756
884,884010,16195,0.815495
885,885012,40057,2.017061
886,886014,39001,1.963886
887,887015,16820,0.846967
888,888009,53805,2.709338
889,889013,16195,0.815495
890,890010,39961,2.012227
891,891012,39145,1.971138
892,892014,16692,0.840522
893,893015,53885,2.713367
894,894009,16195,0.815495
895,895012,40073,2.017867
896,896013,39001,1.963886
897,897009,16644,0.838105
898,898012,53869,2.712561
899,899012,16179,0.814690
900,900014,40105,2.019478
901,901016,38873,1.957441
902,902009,16660,0.838910
903,903011,53757,2.706921
904,904012,16163,0.813884
905,905016,40313,2.029952
906,906011,39145,1.971138
907,907013,16820,0.846967
908,908013,53789,2.708533
909,909015,16099,0.810661
910,910008,39833,2.005782
911,911010,39161,1.971943
912,912012,16756,0.843745
913,913010,53789,2.708533
914,914012,16115,0.811467
915,915014,40153,2.021895
916,916015,38873,1.957441
917,917010,16708,0.841327
918,918012,53725,2.705310
919,919013,16211,0.816301
920,920015,40121,2.020284
921,921012,39113,1.969526
922,922015,16804,0.846162
923,923008,53789,2.708533
924,924010,16259,0.818718
925,925011,39977,2.013033
926,926012,39081,1.967915
927,927013,16708,0.841327
928,928015,53757,2.706921
929,929013,16083,0.809856
930,930009,39913,2.009810
931,931011,39193,1.973554
932,932012,16740,0.842939
933,933014,53901,2.714173
934,934015,16099,0.810661
935,935009,39929,2.010616
936,936011,39177,1.972749
937,937009,16644,0.838105
938,938010,53917,2.714978
939,939011,16259,0.818718
940,940013,40073,2.017867
941,941015,38985,1.963081
942,942009,16676,0.839716
943,943010,53917,2.714978
944,944012,16131,0.812273
945,945009,39913,2.009810
946,946011,39161,1.971943
947,947013,16724,0.842133
948,948014,53821,2.710144
949,949015,16099,0.810661
950,950009,39945,2.011421
951,951010,39193,1.973554
952,952011,16740,0.842939
953,953010,53821,2.710144
954,954011,16099,0.810661
955,955013,39977,2.013033
956,956015,38905,1.959052
957,957008,16612,0.836493
958,958010,53853,2.711756
959,959011,16243,0.817913
960,960012,40041,2.016255
961,961010,39209,1.974360
962,962013,16820,0.846967
963,963014,53789,2.708533
964,964008,16259,0.818718
965,965010,39961,2.012227
966,966011,39065,1.967109
967,967012,16660,0.838910
968,968013,53917,2.714978
