Sample,Time_us,Raw_u16,Voltage_V
590,590010,30167,1.519052
591,591014,42938,2.162133
592,592010,51820,2.609384
593,593013,53565,2.697253
594,594010,47675,2.400664
595,595014,36136,1.819620
596,596010,23605,1.188624
597,597014,14643,0.737345
598,598010,12819,0.645498
599,599014,18788,0.946065
600,600011,30167,1.519052
601,601014,42858,2.158105
602,602011,51676,2.602133
603,603015,53581,2.698059
604,604011,47563,2.395024
605,605015,36200,1.822843
606,606011,23557,1.186207
607,607008,14755,0.742985
608,608012,12867,0.647915
609,609009,18772,0.945260
610,610015,30247,1.523081
611,611011,42938,2.162133
612,612015,51772,2.606967
613,613012,53549,2.696448
614,614008,47723,2.403081
615,615012,36168,1.821231
616,616009,23701,1.193458
617,617013,14707,0.740568
618,618011,12819,0.645498
619,619008,18740,0.943648
620,620012,30231,1.522275
621,621008,42826,2.156494
622,622012,51708,2.603744
623,623009,53581,2.698059
624,624013,47611,2.397441
625,625010,36232,1.824454
626,626014,23541,1.185402
627,627010,14659,0.738151
628,628014,12867,0.647915
629,629011,18740,0.943648
630,630015,30199,1.520664
631,631011,42906,2.160522
632,632015,51788,2.607773
633,633012,53517,2.694836
634,634010,47643,2.399052
635,635014,36200,1.822843
636,636010,23605,1.188624
637,637014,14675,0.738956
638,638011,12819,0.645498
639,639015,18852,0.949288
640,640011,30215,1.521469
641,641009,42730,2.151659
642,642013,51724,2.604550
643,643009,53549,2.696448
644,644013,47579,2.395830
645,645010,36200,1.822843
646,646014,23573,1.187013
647,647010,14675,0.738956
648,648014,12867,0.647915
649,649012,18772,0.945260
650,650009,30247,1.523081
651,651013,42842,2.157299
652,652009,51724,2.604550
653,653013,53597,2.698865
654,654010,47611,2.397441
655,655014,36232,1.824454
656,656010,23589,1.187819
657,657008,14675,0.738956
658,658013,12851,0.647109
659,659010,18708,0.942037
660,660014,30295,1.525498
661,661010,42826,2.156494
662,662014,51772,2.606967
663,663010,53549,2.696448
664,664014,47643,2.399052
665,665012,36232,1.824454
666,666010,23589,1.187819
667,667014,14675,0.738956
668,668010,12835,0.646303
669,669014,18772,0.945260
670,670011,30231,1.522275
671,671015,42906,2.160522
672,672011,51724,2.604550
673,673010,53517,2.694836
674,674015,47627,2.398247
675,675011,36232,1.824454
676,676008,23605,1.188624
677,677012,14659,0.738151
678,678008,12803,0.644692
679,679012,18772,0.945260
680,680008,30199,1.520664
681,681008,42794,2.154882
682,682014,51788,2.607773
683,683010,53581,2.698059
684,684014,47643,2.399052
685,685011,36248,1.825260
686,686015,23493,1.182985
687,687011,14675,0.738956
688,688015,12851,0.647109
689,689016,18788,0.946065
690,690014,30231,1.522275
691,691010,42858,2.158105
692,692014,51740,2.605356
693,693010,53597,2.698865
694,694014,47611,2.397441
695,695011,36200,1.822843
696,696015,23541,1.185402
697,697014,14659,0.738151
698,698013,12771,0.643081
699,699009,18692,0.941231
700,700013,30247,1.523081
701,701010,42794,2.154882
702,702014,51708,2.603744
703,703010,53597,2.698865
704,704014,47691,2.401470
705,705013,36120,1.818814
706,706011,23573,1.187013
